123,REGAAL,INE0MHO01029,87.25,20
124,ARVIND,INE034A01011,358.5,20
125,NORTHARC,INE850M01015,253.8,20
126,DCBBANK,INE503A01015,181.07,20
127,RRKABEL,INE777K01022,1368,20
128,JSWINFRA,INE880J01026,276.25,20
129,BIOCON,INE376G01013,395.15,20
130,DCXINDIA,INE0KL801015,194.57,20
131,SIRCA,INE792Z01011,529.85,20
132,GRMOVER,INE192H01020,487.05,20
133,PIIND,INE603J01030,3441.1,20
134,INDUSINDBK,INE095A01012,829.4,20
135,TATAPOWER,INE245A01021,388.1,20
136,FILATEX,INE816B01035,54.44,20
137,BRITANNIA,INE216A01030,5819,20
138,MSTCLTD,INE255X01014,502.9,20
139,INDRAMEDCO,INE681B01017,530.75,20.88
140,SGBNOV258,IN0020170109,12900,10
141,SGBOCT27VI,IN0020190388,12790,10
142,ORISSAMINE,INE725E01024,5001.5,20
143,BPCL,INE029A01011,365.05,20
144,EPACKPEB,INE0MLS01022,323.65,20
145,SGBDE30III,IN0020220110,13606.01,10
146,ABB,INE117A01022,5147,20
147,APTUS,INE852O01025,280.3,20
148,SBC,INE04AK01028,26.3,20
149,GOLDBEES,INF204KB17I5,101.55,20
150,AFCONS,INE101I01011,398.6,20
151,SOLARA,INE624Z01016,563.05,20
152,ELIQUID,INF754K01VW2,1006.48,5
153,CEATLTD,INE482A01020,3877.5,20
154,NSLNISP,INE0NNS01018,41.88,20
155,SGBOCT25V,IN0020170075,12262,10
156,MRF,INE883A01011,151950,20
157,SGBJUN28,IN0020200104,12814.99,10
158,SYNGENE,INE398R01022,634.6,20
159,INOXINDIA,INE616N01034,1155.2,20
160,ACC,INE012A01025,1851.4,20
161,GOLDSHARE,INF789F1AUX7,103.05,20
162,GRINDWELL,INE536A01023,1528.9,20
163,SHREECEM,INE070A01015,26480,20
164,ITIETF,INF109KC16I6,40.69,20
165,PHARMABEES,INF204KC1089,23.27,20
166,TATACAP,INE976I01016,318.6,20
167,CLEAN,INE227W01023,926,20
168,GRSE,INE382Z01011,2921.1,23.62
169,CPPLUS,INE819V01029,1677.4,20
170,HCLTECH,INE860A01027,1645.4,9.44
171,JUBLPHARMA,INE700A01033,1080.1,20
172,TIMKEN,INE325A01013,3087.2,20
173,SGBMAR28X,IN0020190552,12762.38,10
174,SGBSEP31II,IN0020230093,13656.84,10
175,IIFL,INE530B01024,544.75,20
176,SBFC,INE423Y01016,108.72,20
177,SALZERELEC,INE457F01013,723.1,23.31
178,ARE&M,INE885A01032,968.6,20
179,NIITLTD,INE161A01038,98.67,20
180,ADANIENSOL,INE931S01010,993.6,20
181,KAYNES,INE918Z01012,5967.5,20
182,STARCEMENT,INE460H01021,229.45,20
183,SPARC,INE232I01014,138.06,20
184,TI,INE133E01013,503.65,20.75
185,EXIDEIND,INE302A01020,380.8,20
186,AONELIQUID,INF1J2R01056,1035.02,5
187,ABREL,INE055A01016,1776.1,20
188,THERMAX,INE152A01029,2968.2,20
189,WAAREERTL,INE299N01021,1110.4,23.37
190,NEXT50IETF,INF109KC1NS5,73.06,6
191,GOKEX,INE887G01027,949.35,20
192,GILLETTE,INE322A01010,8404,20
193,MOTILALOFS,INE338I01027,952.4,20
194,ZAGGLE,INE07K301024,385,20
195,SGBOCT27,IN0020190370,12712,10
196,JSWSTEEL,INE019A01038,1170,9.34
197,TDPOWERSYS,INE419M01027,758.8,20
198,BAJAJHLDNG,INE118A01012,11747,20
199,IDEAFORGE,INE349Y01013,493.5,20.08
200,GKENERGY,INE1AG301022,183.2,20
201,IOLCP,INE485C01029,91.62,20
202,M&MFIN,INE774D01024,346.6,20
203,MOM30IETF,INF109KC17C7,32.69,6.63
204,KNRCON,INE634I01029,166.78,20
205,EIEL,INE0LLY01014,218.2,20
206,IFCI,INE039A01010,53.29,21.42
207,MOBIKWIK,INE0HLU01028,257.95,20.5
208,RAIN,INE855B01025,113.6,20
209,IRFC,INE053F01010,120.08,20
210,STYLAMIND,INE239C01020,2031.2,20
211,WIPRO,INE075A01022,246.26,9.91
212,TATATECH,INE142M01025,679.8,20
213,ATUL,INE100A01010,6060,20
214,NEWGEN,INE619B01017,918.4,20.95
215,NIACL,INE470Y01017,177.68,20
216,DIVISLAB,INE361B01024,6462.5,20
217,MTNL,INE153A01019,39.62,21.06
218,ASTERDM,INE914M01019,665.3,20
219,JTLIND,INE391J01032,67.63,20
220,SHARDACROP,INE221J01015,773.4,21.5
221,KPIGREEN,INE542W01025,464.4,20
222,SGBAPR28I,IN0020200062,12806.49,10
223,SWSOLAR,INE00M201021,231.59,20
224,ABSLAMC,INE404A01024,744.9,20
225,RAMASTEEL,INE230R01035,10.04,20
226,AARTIDRUGS,INE767A01016,446.8,20
227,ALLTIME,INE0GV601021,279.65,20
228,BANKBEES,INF204KB15I9,611.65,20
